at r=0, c=0, w=0
at r=0, c=1, w=0
at r=0, c=2, w=0
at r=0, c=3, w=0
at r=0, c=4, w=0
at r=-1, c=1, w=1
at r=0, c=0, w=1
at r=1, c=1, w=1
at r=1, c=0, w=1
at r=1, c=-1, w=1
at r=0, c=2, w=1
at r=-1, c=2, w=1
at r=0, c=1, w=1
at r=1, c=2, w=1
at r=1, c=1, w=1
at r=0, c=3, w=1
at r=-1, c=3, w=1
at r=0, c=2, w=1
at r=1, c=3, w=1
at r=1, c=2, w=1
at r=0, c=4, w=1
at r=-1, c=4, w=1
at r=0, c=3, w=1
at r=1, c=4, w=1
at r=0, c=5, w=1
at r=0, c=0, w=2
at r=1, c=-1, w=2
at r=2, c=0, w=2
at r=2, c=1, w=2
at r=2, c=2, w=2
at r=2, c=3, w=2
at r=2, c=4, w=2
at r=1, c=1, w=2
at r=0, c=-1, w=2
at r=1, c=-2, w=2
at r=2, c=-1, w=2
at r=1, c=0, w=2
at r=0, c=1, w=2
at r=1, c=0, w=2
at r=2, c=1, w=2
at r=1, c=2, w=2
at r=0, c=2, w=2
at r=1, c=1, w=2
at r=2, c=2, w=2
at r=1, c=3, w=2
at r=-1, c=5, w=2
at r=0, c=4, w=2
at r=1, c=5, w=2
at r=0, c=6, w=2
at r=1, c=1, w=3
at r=2, c=0, w=3
at r=3, c=1, w=3
at r=3, c=0, w=3
at r=3, c=-1, w=3
at r=2, c=2, w=3
at r=1, c=2, w=3
at r=2, c=1, w=3
at r=3, c=2, w=3
at r=3, c=1, w=3
at r=2, c=3, w=3
at r=1, c=3, w=3
at r=2, c=2, w=3
at r=3, c=3, w=3
3
at r=0, c=0, w=0
at r=0, c=1, w=0
at r=0, c=2, w=0
at r=1, c=2, w=0
at r=1, c=1, w=0
at r=1, c=0, w=0
at r=2, c=0, w=0
at r=2, c=1, w=0
at r=2, c=2, w=0
0
at r=0, c=0, w=0
at r=0, c=1, w=0
at r=0, c=0, w=0
at r=-1, c=1, w=1
at r=0, c=0, w=1
at r=1, c=1, w=1
1
